Name,Num,Address,Salary
Pari,18191447000000000000,Taltira,50000
Pari,18191467750707890001,Taltira,23674
Pari,18191488501431560008,Taltira,50000
Pari,18191509252171010027,Taltira,23674
Pari,18191530002926240064,Taltira,50000
Pari,18191550753697250125,Taltira,23674
Pari,18191571504484040216,Taltira,50000
Pari,18191592255286610343,Taltira,23674
Pari,18191613006104960512,Taltira,50000
Pari,18191633756939090729,Taltira,23674
Pari,18191654507789001000,Taltira,50000
Pari,18191675258654691331,Taltira,23674
Pari,18191696009536161728,Taltira,50000
Pari,18191716760433412197,Taltira,23674
Pari,18191737511346442744,Taltira,50000
Pari,18191758262275253375,Taltira,23674
Pari,18191779013219844096,Taltira,50000
Pari,18191799764180214913,Taltira,23674
Pari,18191820515156365832,Taltira,50000
Pari,18191841266148296859,Taltira,23674
Pari,18191862017156008000,Taltira,50000
Pari,18191882768179499261,Taltira,23674
Pari,18191903519218770648,Taltira,50000
Pari,18191924270273822167,Taltira,23674
Pari,18191945021344653824,Taltira,50000
Pari,18191965772431265625,Taltira,23674
Pari,18191986523533657576,Taltira,50000
Pari,18192007274651829683,Taltira,23674
Pari,18192028025785781952,Taltira,50000
Pari,18192048776935514389,Taltira,23674
Pari,18192069528101027000,Taltira,50000
Pari,18192090279282319791,Taltira,23674
Pari,18192111030479392768,Taltira,50000
Pari,18192131781692245937,Taltira,23674
Pari,18192152532920879304,Taltira,50000
Pari,18192173284165292875,Taltira,23674
Pari,18192194035425486656,Taltira,50000
Pari,18192214786701460653,Taltira,23674
Pari,18192235537993214872,Taltira,50000
Pari,18192256289300749319,Taltira,23674
Pari,18192277040624064000,Taltira,50000
Pari,18192297791963158921,Taltira,23674
Pari,18192318543318034088,Taltira,50000
Pari,18192339294688689507,Taltira,23674
Pari,18192360046075125184,Taltira,50000
Pari,18192380797477341125,Taltira,23674
Pari,18192401548895337336,Taltira,50000
Pari,18192422300329113823,Taltira,23674
Pari,18192443051778670592,Taltira,50000
Pari,18192463803244007649,Taltira,23674
Pari,18192484554725125000,Taltira,50000
Pari,18192505306222022651,Taltira,23674
Pari,18192526057734700608,Taltira,50000
